	PT0	PT1	PT2	PT3	PT4	PT5	PT6	PT7	PT8	PT9	PT10	PT11	PT12	PT13	PT14	PT15	PT16	PT17	PT18	PT19	PT20	PT21	PT22	PT23	PT24	PT25	PT26	PT27	PT28	PT29	PT30	PT31	PT32	PT33	PT34	PT35	PT36	PT37	PT38	PT39	PT40	PT41	PT42	PT43	PT44	PT45	PT46	PT47	PT48	PT49	PT50	PT51	PT52	PT53	PT54	PT55	PT56	PT57	PT58	PT59	PT60	PT61	PT62	PT63
TBX6	5.437974	6.9164	6.7623	3.930422	-0.9772364	4.895565	2.1662	3.5691	0.50685	0.91738987	-2.1678	0.0	-1.3206	1.33865	-1.3969393	3.17725	1.25525	0.702	4.2358	3.1062999	-0.8396	0.663	4.74265	2.604711	2.284373	-1.5444	-0.5862	2.0514	1.6504531	4.32295	1.1489648	1.4133148	-0.6644	-0.0687	0.093	5.827	1.6965	4.12995	3.2326999	-0.7358	5.9966	0.1528	1.43105	-0.6535	1.69255	2.2045002	1.2205	1.9815	0.88605	2.64115	1.6907499	-0.7881226	3.8196	3.5311499	3.9774501	4.3441	5.10365	1.9969608	2.216371	1.753654	3.756	2.5989	4.5157	-2.4349
APLNR	4.94251	1.0715	1.3552	3.1283174	1.7542692	3.5603824	3.3623	5.6376	3.54735	-2.0143754	-1.9629	2.2256	5.7849	3.33195	2.042198	2.23765	4.184	-0.73	1.8501	1.07395	1.0662	2.9200501	3.15025	5.9229307	1.7181584	-1.8892	2.8147	4.0142	1.8955324	2.53845	1.2110991	4.6032314	1.258	0.7042	4.0628	4.4338	3.3495	8.13135	2.6482	3.6071	2.655	1.6076	-1.46455	-0.5311	-0.049100004	0.22	0.7215	3.9252	2.3902502	1.5198	0.24820001	1.1512479	1.22955	1.4274	1.26	1.9674501	2.3330002	0.14972058	0.021761991	0.5410601	2.4723	-0.0701	2.2305	0.9582
ANXA3	-1.1653967	-2.5497	-1.4136	-0.91690713	0.1258375	-2.9507866	-0.3241	-3.8824	-1.41065	1.820312	-0.0619	-1.2641	-0.4774	-1.2358501	-1.327071	-5.8980503	-1.8698	-1.4254	0.2378	-2.1076	-1.7085	-2.2260501	-0.6645	-1.1429806	-0.76568884	-0.1199	0.6152	1.5236	1.6653345	-1.22235	-0.8008927	1.2471669	1.8393	1.0941	-0.4233	1.1022	-4.016	-4.5418997	4.3709	-0.4122	1.1252	3.1213	5.9870996	3.1139	3.9094	2.89135	-1.24	-2.1712	0.2622	-0.7799	0.13595	2.4452066	0.88405	0.07725	-0.69105	0.8722	-0.83585	0.9529778	1.7721819	1.9098188	3.3559	-2.2346	-1.8697	-1.1199
EPHB1	4.850857	5.705	6.7804	3.3189282	-0.98679227	4.1994905	3.9978	3.6027	4.1542	0.9214415	-1.6944	1.2982	-1.9991	1.84565	1.0892683	2.74645	3.5557	0.7036	2.6451	2.0406	-0.558	4.10655	5.2557	1.468852	0.8665597	-0.9909	0.647	4.7465	0.73081094	4.70825	1.6200149	1.4563715	1.542	-0.7427	1.1733	8.3039	2.8763	3.8271	4.4060497	-3.0361	6.2768	4.7561	2.6043	1.1212	2.20995	1.24455	2.6885	0.28	2.5607	5.244	1.605	2.079585	2.9048	2.33035	3.42685	3.0325499	3.29915	0.23469943	0.14045438	0.23363811	1.296	2.2963	3.4491	0.2541
MCF2	2.7796423	4.4703	3.5078	5.393003	0.13465747	2.6434703	1.8867	6.606	2.0529501	1.1054674	-2.0417	2.567	2.8914	5.4446497	3.44804	5.28965	3.08115	0.4523	1.3129	0.6667	0.9284	2.40745	1.52975	6.4988165	0.9440264	-0.4115	3.2432	1.7809	3.1860385	3.2392502	0.8472637	3.598023	1.149	-2.3607	-0.7276	6.6361	6.5573	5.1319504	3.9624	0.761	7.1166	3.8424	2.10635	3.5998	1.5185001	2.85025	0.7196	3.2679	4.2045	6.00315	1.71995	2.9917343	3.09595	2.96005	2.0303	3.01115	2.50035	0.35276863	1.3184447	0.8567147	0.3948	1.6019	5.4551	0.9191
RAB6A	1.7620702	0.915	1.0589	1.112057	-0.6246666	3.4729435	2.0451	-0.9052	-2.4498	2.7896314	-1.4972	1.5316	1.2152	-1.1101999	-3.2042947	1.5386499	0.9561	2.0875	0.44	1.5771	-3.785	2.41175	2.2664	0.7665566	-0.42836136	-1.5837	1.0692	0.3211	0.41877112	0.2529	-0.16650295	0.27826354	-0.1954	2.1426	0.484	2.1496	-1.2658	-0.32865	1.91035	-3.1358	-0.9605	-3.3958	-0.9472	-0.3823	0.68334997	-2.2727501	-0.0268	-0.7958	-0.3746	-2.62965	-1.9809	-2.1880622	-0.68329996	-0.7593	-0.22285	-0.7094	-1.4631	1.0420879	0.7486191	0.0633217	1.3158	-3.7137	3.5566	0.568
DDOST	2.594717	3.8561	3.7296	-1.0173665	-0.62565243	4.7775693	-0.2625	-0.1442	-4.14275	0.6700372	-0.3528	-2.2551	-2.9722	-1.4643	-1.8850968	-3.2315998	-1.18285	1.1078	1.9681	-1.42845	1.6872	-3.13805	5.9915	-2.2437022	2.8422637	0.4302	-4.1153	-1.5294	-3.8368614	3.56565	1.7966988	-2.0816598	1.2983	-0.0173	-0.2388	-0.0522	5.4042	-2.776	-2.60355	-3.0523	-2.3655	-1.086	-3.2020001	0.6835	-4.64125	-5.2726	-0.4478	-2.1438	-0.6265	1.747	-5.73335	0.2966742	-1.00325	1.10055	0.2309	0.0031000078	-0.37804997	1.8060558	0.7122257	0.7272393	-3.2035	-0.4843	-2.2076	1.4603
NDNF	3.40011	2.2909	2.0158	1.7534785	-1.4549989	2.542643	2.4563	2.1512	-1.59955	-0.39715183	1.2203	1.4498	-1.0505	2.88125	2.4069314	0.80015004	4.0824	-1.5886	1.3815	2.42895	-0.0593	-0.52905	3.1559	2.1712158	2.1178303	-1.0686	-1.5499	-2.3698	1.4631673	1.86115	2.7100215	0.24947435	-1.9526	-0.413	-0.1109	-1.8658	7.7554	1.19765	3.2564502	2.301	2.2621	4.0778	-0.5242	2.3792	-0.68295	2.24655	-1.9805	1.996	2.12485	7.1217	2.497	0.99581057	0.9393	1.87885	1.08505	0.396	0.69664997	-0.3368253	-1.3380964	-1.130673	-1.8366	-0.5502	1.5484	0.3198
GUSB	1.9002392	2.373	5.4768	-1.3956292	2.244679	4.2085075	-1.9851	-4.5443	-1.01425	1.8201201	0.1743	-0.7729	3.2641	-4.6813498	-3.9562058	-4.8657	-2.8944001	-0.3232	1.2657	-2.4517999	-0.5964	0.34280002	4.59705	-0.9781085	0.37717602	1.1931	3.4533	-0.0548	1.8950703	1.504	0.9069941	1.8281775	-0.4141	2.3239	0.9151	-1.2818	-2.6052	1.20685	1.90415	-0.9152	-5.5431	-2.417	-2.4955	-9.0139	-1.9319999	-0.80135	-1.1041	3.5852	-2.2122	-2.49475	0.33315	-2.5660708	-1.5079999	-1.0313001	0.974	0.2751	1.1694	0.48066682	-0.1420956	0.65833646	-0.9467	-1.8175	1.8785	-0.4593
SAR1A	-2.1094394	-0.54	-2.9361	3.2727933	-0.048270866	-1.7876465	-4.4932	-1.0772	-1.3512	-2.1679044	1.2786	-0.3182	-1.3972	-1.6376	0.41518626	-2.9303	0.52325	0.0677	0.218	-2.75495	-2.8953	-0.77295	-4.8876	0.43215135	-0.061689463	-0.0283	-0.2243	-4.3257	-1.0868802	0.35095003	-0.028911158	-3.0750628	0.4086	-0.2471	0.9598	-0.4226	-0.967	1.2927	0.14039999	1.5684	-1.6388	-2.0928	-3.47925	-2.5048	-4.5352497	-4.2562	-1.0617	-2.3664	-2.34455	-2.78565	-2.9987	-0.6992055	-1.99675	-2.14085	-3.6482	-3.45465	-4.1843	-2.1580195	-2.244824	-1.1685863	-3.3041	-2.0918	-0.163	0.5372
ADCY7	2.8448973	-2.3138	-1.5578	2.2398307	-0.62801164	-0.14424057	-2.3306	2.2659	4.7189	0.8347602	0.4678	2.0575	3.1853	3.9840999	1.2022629	0.68015	2.10535	0.4083	3.134	1.33325	2.6911	1.2953501	1.54145	2.1738942	0.6560785	-0.6092	6.1872	-1.2984	1.0126371	0.87079996	-0.014310293	-0.387834	0.3475	-1.0688	-0.7883	3.978	-3.5375	2.30655	0.3821	5.5996	2.9679	0.6268	0.29575	0.1802	-2.10005	1.70775	1.1721	4.6693	2.44245	0.7734	2.0147	0.21151823	-0.66220003	0.45674998	-0.33415	0.24829999	-0.31435	-1.2679914	-0.4552625	-1.2959725	0.4217	3.9705	-1.7294	1.327
PRKDC	-2.615759	-0.9383	-1.5634	2.7858357	-0.99880743	-2.902617	-2.1993	0.0216	0.69505	0.90518314	-0.8661	-0.4766	0.9362	2.78835	0.3728468	-1.79425	-4.7306	-3.1367	2.312	-6.0161495	-2.5959	2.15095	-1.5907	4.149517	0.50998324	-2.703	0.0298	-7.4906	-0.3440096	-0.63035	0.5006013	-2.5245833	-0.8452	-0.404	1.0816	-0.942	3.7565	2.64995	2.0623	2.746	-3.3035	2.2872	-2.3985999	1.986	-2.5928001	-5.05125	-4.4605	-1.0292	0.60810006	2.35535	3.07485	-0.15312408	-4.0102997	-3.5462499	-3.62985	-2.0031	-3.9065502	-3.4385936	-2.8841274	-3.8798947	-5.4049	1.0751	-4.4653	-0.7147
RFX5	1.4995283	-0.2662	-6.2701	-7.635298	1.3870574	-1.8889651	-3.0353	-10.0	-1.7306	-3.0488405	0.7691	0.3295	-1.4673	-0.64145	-0.10676095	-2.973	-1.54445	-4.7744	0.7408	1.81565	-1.4612	2.97345	-1.5195	-0.030445516	1.4668195	1.9695	1.4187	3.683	-0.093622886	-3.2962499	-0.020894691	-1.0959997	-0.8464	-0.4399	-1.5958	2.8057	-2.1895	0.80775	-6.645	2.058	-0.9436	0.7946	-8.04955	-10.0	-5.0929	-2.4474	2.2166	-2.699	0.21830001	-4.3879	-5.68115	-2.020704	-5.3150997	-6.35075	-10.0	-4.8219	-5.5540504	0.16741094	0.47050625	0.14644954	9.3444	2.316	-3.1186	1.2278
KDM3A	-4.3192644	-1.6311	0.0161	-4.3498755	0.5825034	-4.514383	3.3293	-1.5413	-3.2993	-3.1252964	-1.259	-2.7928	0.2864	-1.34225	-0.44480497	-2.3741	-7.70655	-9.461	-4.865	2.57165	-10.0	-2.3758	-1.6616001	-0.38854927	-2.7526248	0.3182	-8.2198	-0.5823	-6.5232997	1.2602999	-0.6777686	-7.361945	-1.2749	2.3639	-6.8772	2.5115	-3.1384	-5.79325	-9.6784	-0.4766	-6.1663	0.0965	-1.4997001	-2.1824	0.69175005	1.02245	-0.4192	-10.0	-2.02335	-3.4148	-8.45075	-4.068891	4.409	3.935	4.1496496	4.8701496	5.03975	1.4263932	-1.8246152	1.7385792	8.6182	-4.4389	0.3631	-3.3861
ISG15	0.49590164	3.9106	3.7064	0.48144567	1.9103434	3.4857926	-0.1511	0.9179	-2.73525	-2.6054533	0.0109	-1.2553	-4.213	-1.8575	-0.9371686	-1.20545	2.6987	0.1026	2.6965	-0.80635	1.9727	-3.22925	2.8656	-1.1238848	2.8147142	-0.177	-0.7198	0.6725	-1.162271	0.58725	1.3401322	-3.8127165	-3.0953	-0.6749	-1.6641	-7.2248	1.366	-0.5415	-2.10645	-0.4053	-8.4635	-3.4661	0.41134995	2.4315	0.28925002	-0.18834996	-0.4306	-3.7965	-3.6511	-2.97055	-2.97305	-1.2109833	0.9999	2.2578	2.3183	2.0481	1.87725	0.17371897	0.13771647	0.057115883	2.3081	-2.1673	-0.7631	1.0157
BHLHE41	-0.05398938	3.3873	1.1393	3.3771026	1.8692108	2.5758388	0.9017	-2.6701	3.30265	1.8948385	-1.8615	-1.5923	1.0933	0.35434997	2.2534301	-0.0638	1.3679	-0.8405	-0.1847	1.75805	-1.0198	2.4341002	0.29205	3.577563	-0.8263508	0.705	4.7418	-0.1944	2.649369	3.0467	-1.1245122	3.356896	0.0271	0.7092	2.6723	3.3744	1.8596	2.42655	3.16995	3.344	5.9573	1.3279	-2.2375998	-3.5073	-1.13765	1.32835	-3.4099	2.8966	-1.1611999	-1.16495	0.5423	2.8087966	1.16335	0.98735	-0.60565	1.28605	-0.43295	0.862348	1.3719002	0.97388434	-1.0989	2.9015	0.0044	0.2433
FZR1	1.8393848	3.4927	2.8498	3.7299006	-0.25072914	3.088842	4.2213	7.4334	-1.8303	-0.20314878	-1.1942	0.7239	-0.3001	1.89735	0.789636	1.9310999	1.2769501	1.7339	-1.3787	2.1740499	1.2398	-1.695	-0.96795	3.1920161	-0.30385882	1.8093	1.0601	1.1888	0.75585663	0.76395	-1.2111791	1.0923543	0.9323	1.532	0.3234	1.9456	4.7507	0.87525004	4.03055	-1.6976	6.183	0.8717	3.91425	1.1606	2.4913502	2.45575	1.5182	3.7084	2.7711499	3.7152	1.731	-0.10914399	-0.1885	-0.1852	0.74395	2.7653	1.5027499	-1.606037	-1.5989145	-1.7807344	2.2962	5.1448	0.4627	1.7031
CASS4	5.270548	5.9095	7.2526	3.9757	-0.6401019	4.951722	4.2916	6.3686	3.83235	3.162713	-1.7257	2.6635	3.6079	3.13	2.3995347	5.6064997	3.75885	0.6994	1.982	2.27875	2.2167	4.0695	5.42305	4.313038	1.1975464	-1.3739	1.6493	5.5189	1.7770734	4.9828	1.758485	1.3820176	-0.5669	-0.6544	3.0151	10.0	3.8877	8.0868	8.53215	1.2748	10.0	3.4276	5.1997995	2.7017	2.9474502	4.31975	1.1527	3.0645	4.4468	6.58785	2.67905	1.6799072	2.1777	3.1349	3.8200998	1.4784501	2.91465	0.4191535	0.057579942	0.17465091	1.9738	2.3239	2.6185	0.737
FZD4	2.646048	2.0665	2.1575	0.77330846	0.2703491	3.2565455	3.7884	1.6219	3.77185	-0.36235064	-0.0592	-2.778	2.7242	1.17995	2.2875514	1.0604	0.42150003	0.8167	1.4553	3.5362	0.4258	0.94255	2.1344	-0.37945962	-0.21973479	0.0181	0.6605	0.2553	-0.6394346	1.6594	-1.2274902	3.2030406	-1.5092	-0.5598	-0.7464	3.3576	0.4058	0.6085	4.63955	0.2124	5.6271	3.1281	0.95085	-2.38	1.20235	1.7602	-0.4754	-1.3098	1.3615	1.88575	0.35615	0.46823093	-0.91845	-2.92255	-0.39815	-2.0047998	0.6033	-2.798382	-2.3855534	-2.917492	2.3117	-1.5992	1.6028	-0.2985
TSPAN14	-3.7038488	-2.9636	-1.5513	3.0470862	-1.4789257	-3.2432706	-4.5061	3.4702	4.13055	0.29760247	0.1455	1.0081	2.6732	2.31995	2.415463	1.3957	2.8843	0.2843	-2.7007	-3.3392	1.1589	2.07475	-3.9088001	1.4935888	-2.8425179	-0.8008	0.3225	-2.6904	0.9550627	-2.3600001	-2.686043	-1.4896054	0.6872	-0.9593	-1.9435	-0.0379	0.3392	1.2321	-1.0403	5.1168	-1.4008	1.4209	0.11135	-1.6948	-0.24229999	0.31565	2.0316	3.3038	-0.75525004	1.7008	2.78135	2.0572329	-2.11385	-1.10795	-2.1938999	-3.96985	-1.6493001	-0.81934106	-0.8946859	-0.27867302	2.4707	-1.6584	-1.6901	-0.7007
IFIH1	1.2600222	5.8321	6.0507	1.0920855	1.4179065	5.051297	1.1746	1.7788	-1.6613001	1.5629561	-0.5552	-0.4512	-0.3092	-1.1870501	-1.4989324	1.1349499	4.9289503	0.4695	2.6607	1.9846501	2.394	4.2889004	3.1679	2.691482	1.8872015	-1.0031	-1.0887	2.29	4.0705147	2.4534	0.34210566	1.9951279	-1.4823	-0.7132	-1.8559	-0.6162	2.9282	-0.43025002	-0.6438	-2.5557	-1.7877	0.08	-0.62004995	-2.3983	-0.09395	-1.5663	2.4267	0.5583	-1.6167	0.33920002	-0.44210002	1.5170467	1.9705501	2.2474499	3.0643	3.6134	2.5403	1.5620477	1.4746146	0.14015368	4.2094	-1.6138	2.3044	-0.7766
ENO1	0.106128216	-1.1888	-5.3739	-1.6753713	-3.8326058	-0.7215396	-3.189	-0.1174	-1.82575	1.5273272	0.7678	-0.8046	-3.0002	-3.91675	-4.5831003	-0.7394	1.8029001	-2.266	1.1828	-1.1836	0.2769	-2.0198998	0.12135	-2.8408825	2.413494	-1.6938	-1.4622	-3.6779	-0.98439467	-1.184	0.5985404	-0.8635889	-1.6105	-0.0611	1.4982	3.7564	1.4875	-0.84435004	-1.54915	-1.1578	-0.4516	-1.7844	-0.61215	1.6448	1.81995	-1.4554	-0.6462	-3.3911	0.60415	-1.0697	-3.0498	0.41610938	-2.5921	-2.44325	-4.1369	-4.26	-1.70875	-3.288613	-3.8219652	-3.0756717	-6.9758	-1.488	-6.3045	-1.4087
CLN6	2.9556744	1.3474	1.0521	4.7041817	-0.34855354	-0.5660908	-4.4859	-0.4787	2.56485	-0.28687096	1.4803	1.4055	-1.1655	3.4259	3.2176187	0.6393	0.8731	-3.3678	-1.5622	-1.89125	0.1577	2.1766	1.17285	2.3384013	0.65120506	0.8825	-2.7792	-0.304	1.8125732	2.33645	0.059342816	-3.3894424	0.0588	-0.5472	0.2617	0.9436	2.2106	2.00685	-0.50479996	1.1391	3.1483	3.1979	-1.046	-4.7979	-0.50794995	-0.42020002	-0.5473	1.8621	0.23494998	0.58469987	2.76445	4.88654	-3.1978002	-1.5857999	-1.1606	-1.4032999	0.49205	-2.3168879	-2.0980198	-2.0527647	-4.3472	0.732	-2.1466	0.0
NFX1	0.6110406	-0.8994	3.3354	3.9949915	0.3387994	-0.5072684	0.8101	2.4484	1.4256	0.82514524	1.0943	0.3357	0.0408	3.3410501	5.3972597	5.33615	6.1550503	-0.5888	-0.0251	3.6634998	1.8286	3.6673498	-0.30590004	5.0067654	-0.5430984	-0.029	7.0085	0.8982	2.4799883	1.6926501	-0.85345805	0.9752587	2.3449	-1.4896	1.6306	2.6023	6.3773	2.8600001	3.4055	1.5493	4.912	4.5654	4.19305	-1.3539	4.45985	2.13915	2.4998	2.5678	2.68815	4.8265	3.81695	6.076247	0.1127	-0.74905	0.3813	2.0468	2.27	-2.0836844	-1.7382307	-0.39264303	1.5083	3.2732	2.4701	3.8332
PTEN	-3.1920195	1.0701	-0.0032	0.10539165	0.26973653	-2.456756	-2.3152	-1.875	-3.5114498	-2.2637484	1.2038	-3.0727	-6.7194	-2.51535	-2.1460733	-2.2005	-1.67595	-0.2623	0.8231	-2.25555	-0.7235	-4.90905	-3.04775	-0.80449367	-2.376982	-0.405	3.1023	-4.9671	0.6542822	-3.8293	-1.695591	0.8358041	0.0001	0.7298	-2.9486	-4.6626	-9.3995	-0.30040002	-3.16185	0.5083	-5.699	-3.2475	1.1154499	-0.2392	0.8076	1.5011001	-2.1001	-4.7893	-2.42	-0.2626	-2.13315	-4.0070963	-0.3721	-0.91235006	-1.8231001	-0.58965	-1.533	-3.1255097	-3.0861406	-2.2708893	-3.1536	-0.4139	0.5603	3.6796
CSNK2A1	-0.20094147	-1.8825	0.0794	-0.7182714	-0.17211625	-1.5607233	-2.4759	-1.3973	2.0738	-0.027256949	-1.6594	-0.4219	0.3758	0.29595	-2.0082831	-0.49029997	1.34515	1.2932	-0.3194	-2.1654	-3.8369	1.4977499	-4.4104996	-0.59048915	-1.6087689	-0.0716	-0.323	-6.4093	-2.3107023	-2.0231	-0.73515415	3.932412	0.369	-1.0918	-1.7534	1.9973	-3.0044	-3.24215	0.13979998	-2.1001	-0.9161	-2.388	-2.62075	-5.0683	-2.92765	-4.0487	-0.3233	-5.2749	0.4328	-1.2867501	-3.24495	-0.41479862	-1.47265	0.18555003	0.58255	-1.1702499	0.5375	0.3683092	0.5496349	-0.15071905	-2.2407	1.1795	-0.8687	1.2479
KRT16	-0.9704868	-1.9663	-2.3582	-0.00093752146	2.3952887	-0.28232667	1.1692	1.4983	0.35105	3.6594746	0.5053	4.4688	-2.2225	-0.3835	-1.720639	-1.09615	1.26965	0.9946	-0.9553	2.22505	1.0893	-2.94575	-0.83785	0.016282082	0.1827355	2.3045	-1.1077	6.8542	3.4053411	-0.93895	-0.6208291	2.0892193	0.5423	-1.4067	1.2958	0.6745	5.9478	2.53145	1.0757	0.9951	-1.6106	0.7281	5.04145	3.3339	3.32405	2.9623	-0.5335	-0.1488	5.02835	1.5086501	1.9732001	0.3160084	0.61065	0.24200001	-0.7245	-0.69740003	0.12980002	0.968933	0.99175006	0.54709315	-1.4197	0.341	-0.4632	-2.2413
SCARB1	2.081439	0.9415	1.6093	-0.45468104	-1.0775907	2.154145	-3.4086	-3.168	2.145	0.8964003	-0.2917	1.0952	2.611	0.008749992	-1.363524	0.5081	-4.17335	-1.2454	2.8135	-1.7555499	3.9384	-2.5347	2.43125	0.12378469	1.5132217	0.337	0.1053	1.3808	0.264618	0.79055005	1.8843082	4.126723	2.3602	0.5147	-0.2146	1.9036	2.0978	4.68655	1.2579501	1.4654	2.3276	5.1389	5.29705	5.9294	2.57445	5.9443502	-2.5444	5.3131	0.97625005	0.4163	0.5075	-0.41973203	1.17605	2.16895	2.6739001	5.4365	1.8050501	6.3662796	7.003463	8.305162	1.9937	-1.5859	-7.7276	-0.1155
PLA2G5	0.82870626	0.3022	-1.1481	4.519611	0.095690474	-0.043029815	4.5323	1.3712	1.5945	-0.7091592	-0.0789	0.6867	0.0292	1.0475	1.8431009	3.2438002	4.26335	-1.735	1.6038	1.19845	-1.4315	-0.69215	1.8396001	5.3031263	0.6764493	-0.5515	1.6694	3.1611	1.7088058	1.52205	-0.3393731	-1.0397208	-2.2106	0.69	0.6394	4.4985	1.1138	5.9014	4.24425	1.5033	1.259	2.8178	5.387	5.3528	2.45785	4.54785	-0.008	4.0314	3.7944999	2.3191	-0.45790002	0.2117558	0.3176	1.16025	2.2686	0.87915	1.4014001	-1.1988016	-1.1740639	-0.76738775	-0.336	1.4194	0.7357	-0.7265
RAMP2	5.6507473	5.583	5.4242	0.4417158	0.89442545	4.318582	2.6818	-1.1097	1.472	-0.39827073	-2.5773	0.0749	-4.1878	2.5170999	1.5172759	1.12275	1.1083	0.8596	4.0034	1.81565	-1.6455	0.33449996	5.89325	1.7157989	2.333094	-0.2257	-1.2799	-0.0985	-1.3134679	5.71115	3.016182	0.6821284	1.5594	-0.3317	-0.9626	-2.2631	-1.043	0.70830005	1.4092	2.096	-2.2461	3.5075	-0.12905002	0.9759	1.40735	-0.32739997	1.7193	0.0806	0.12385	1.29295	-0.5339	0.16992645	1.44075	1.5942	2.99435	1.2061499	3.12555	2.405368	0.9599188	0.95055616	-1.0513	0.3397	3.6922	-0.7214
ADCY6	3.2018728	3.5783	2.8724	1.4786376	1.2041225	3.9009168	3.9419	0.0221	0.97225	-1.1070058	-1.0412	1.3149	1.5674	3.85315	3.428348	-0.33475006	1.6725	-0.4006	2.1868	2.4126	1.7969	3.03065	3.29915	2.2492578	3.2850504	-0.4078	0.4815	5.7845	-0.7007209	3.8606	2.019054	1.9990652	-0.9697	-0.6124	1.4517	5.1419	3.0557	0.00030004978	-0.058750033	1.2831	0.2916	-0.5077	-2.82495	-2.5426	-1.41565	0.3619	2.4573	2.1506	0.46099997	1.51515	-1.2908001	1.7314929	2.04035	-0.13875	1.7894	2.6006	2.3252	-1.3545873	-1.2927349	-1.4913547	1.4874	-0.5775	0.9269	1.7733
RBM19	2.0489113	1.9376	0.4561	4.122822	1.023922	-0.36352938	5.2285	6.0733	2.8491502	0.78091216	-0.1924	1.0032	-2.4848	4.9627504	3.8504744	1.3445	1.6654	-3.7394	0.4282	2.9412	-1.1467	-0.18005002	0.5076	4.203134	0.94730437	2.9704	6.0197	3.8578	4.2133946	0.4505	-1.1541305	-1.4115397	1.3853	-1.087	-0.3765	6.4049	6.7046	2.62395	3.85285	0.1174	5.2724	0.3539	4.0337	8.4999	4.5032	4.8092003	-0.7026	3.5866	2.7145998	3.7773	2.6410499	3.257349	0.3104	-2.38975	-1.0467	-0.65265	1.67205	0.8257347	0.50670433	0.9958849	2.6886	4.5449	-1.3446	-0.8904
SPHK1	-2.523365	-2.0608	-0.6938	-1.9635012	1.9729573	-1.7321689	1.0638	2.1934	2.8714502	-2.2298844	1.0182	-0.3738	-3.4811	-2.3662	0.6091833	-3.4653502	0.71930003	-0.8583	-1.3676	-2.27245	0.0644	0.76984996	-1.88005	-1.5569327	-2.3729844	3.5388	-0.4776	1.8604	0.37097478	-0.87275	-2.0472152	-5.480614	-1.7079	1.8251	4.2962	-0.4663	-4.349	-0.71379995	0.2033	-3.5332	1.8056	2.2756	1.4505	-1.4272	0.6745	2.88765	0.3446	-1.0879	-0.05795002	-1.03835	2.3315	-0.38809913	-1.96185	-2.6392002	-2.1751	-1.8636999	-1.6858001	-1.383525	-0.9170954	-0.24829793	1.4154	-3.169	0.9224	-1.5761
HMOX2	-0.6654724	-4.3497	-0.3979	-3.7807605	0.46057266	-0.945227	1.1725	-2.8132	-4.64565	-1.6614108	-0.6576	-2.5329	-3.1287	-3.77875	-1.8518803	-3.62285	-5.1588497	1.1212	-1.368	1.19965	1.1001	-3.768	-1.5490999	-2.7847083	0.8076607	1.2155	-2.3761	-0.3383	-4.4082274	-0.144	0.21184936	0.43330362	1.3081	-1.0565	0.1302	-1.4023	7.3746	2.2654	1.5838001	-4.9049	-3.0024	0.6906	4.7807503	1.3443	-1.6484001	3.13365	-0.7597	0.2744	0.6043	0.4432	-2.19055	-1.4571174	0.031999975	1.0509	-0.302	0.8857	-0.4267	1.9466667	0.9606527	1.2711109	-4.9989	-3.4408	-2.4845	-1.2935
TENM4	1.9508533	0.3137	0.6688	2.4949956	-0.2928959	0.67882067	2.6863	-0.853	4.38665	3.110289	-1.9057	2.3612	5.6158	4.5583	3.4128628	4.3001003	1.9005	-2.0338	1.2351	-0.11855	-1.6014	4.1061997	1.5041499	3.8609276	0.6354119	-1.5023	2.3241	-1.926	6.468313	0.78825	-0.41903025	1.4735856	-0.4398	0.4901	4.9594	3.1183	1.2156	4.8637	1.57875	0.4047	4.686	0.7673	2.4273999	3.541	4.2899504	2.7933	2.1505	2.4033	1.0666001	4.2516003	1.7331	0.068633296	1.66555	1.9705	3.0051498	0.06955001	1.3951001	0.24214157	0.3411467	0.36536866	3.9295	-2.333	1.4827	-0.8545
PRKAR2B	4.633642	3.9842	4.6586	-0.91752553	0.8291517	4.148698	2.9123	-0.485	1.3267499	-1.36249	-0.8662	-0.6109	2.9536	0.07769996	2.0992744	1.7099	-1.6958001	2.1264	0.079	4.15385	3.5294	2.56035	4.34665	-0.20300172	2.5053632	-0.8598	2.6271	1.3226	2.6381521	2.7866	3.452633	5.1237555	-1.5207	1.0562	0.5712	1.0901	-1.631	0.8056	-0.74355	-1.826	-0.3095	-2.8579	1.3187499	-1.7818	-0.81105006	-0.80464995	0.8711	0.5617	0.12795	-0.69549996	-1.57745	-1.6691203	-0.133	-1.338	-1.1519	-1.7692	-1.289	-2.4065466	-1.259521	-1.5876043	1.6827	5.076	2.5179	0.0
CCND3	-0.46436143	-7.2563	-9.4658	0.9522525	4.461933	-5.2941866	1.2864	5.0481	-4.42805	0.563505	0.6015	-2.1914	2.0333	0.84260005	-3.7393038	-1.3064	-1.59935	2.5856	-0.6393	5.0214	-2.2992	3.07205	0.60985005	-0.20081177	2.0061338	0.9194	-4.0886	3.9146	3.4365087	1.7135	1.1295761	0.5360107	-2.2361	3.8451	1.4688	6.3873	-3.7408	-2.1546001	1.2428501	-3.3188	2.8009	0.5707	-3.8773499	-8.1926	-2.7197	-3.9492002	-0.824	2.202	2.0118499	3.56465	0.6973	-1.0338001	-1.89445	-2.0993	-1.2315	-4.6067	2.2695	2.6932154	2.6293724	3.1641252	1.3046	-1.8986	4.1235	-0.6877
