	PT0	PT1	PT2	PT3	PT4	PT5	PT6	PT7	PT8	PT9	PT10	PT11	PT12	PT13	PT14	PT15	PT16	PT17	PT18	PT19	PT20	PT21	PT22	PT23	PT24	PT25	PT26	PT27	PT28	PT29	PT30	PT31	PT32	PT33	PT34	PT35	PT36	PT37	PT38	PT39	PT40	PT41	PT42	PT43	PT44	PT45	PT46	PT47	PT48	PT49	PT50	PT51	PT52	PT53	PT54	PT55	PT56	PT57	PT58	PT59	PT60	PT61	PT62	PT63
ILF2	-2.1149642	-2.9328	-1.6705	-0.5503753	-1.7757438	-2.4991434	-2.8463	-6.0317	0.7969	-1.0455828	0.5864	-1.2822	-4.1375	-2.20715	-0.34850323	-2.3563	-2.3101	1.2873	-0.4882	-1.2862	-0.2346	-0.73394996	-0.34655	-0.004420221	-0.9339832	-1.0126	-7.2233	-2.5964	0.22818382	0.54485	0.6993147	-4.073231	2.7514	-0.4298	-0.1101	-2.046	1.0512	-0.0027999878	2.15945	-2.4366	-0.0373	-2.4368	-2.3096	0.0154	-3.28165	-4.64025	-2.474	0.0356	0.1028	-0.013099968	-1.1338	-2.6984608	-1.98965	-0.47190002	-1.244	-0.75859994	-0.99385	-0.2775077	-0.88221264	-1.0358417	-3.1153	-2.0042	-1.1168	0.4892
SALL2	4.4553604	4.1087	4.1847	0.056027755	-0.39469814	2.9699247	2.9235	-1.2721	2.7693	0.40108883	-0.5949	1.9303	1.8725	1.5374999	0.64375407	0.86259997	1.4103	-0.7085	-0.3043	0.74065006	-0.5564	1.7744999	4.3497	-0.26659495	0.31846714	-0.8019	-1.558	-7.4888	-0.49695054	1.9032	0.93895745	0.88001883	0.6139	-2.0594	-0.9233	0.0039	-5.6792	5.0679502	2.0221	2.617	2.8866	-2.6254	1.70675	-0.5669	-0.30175	1.88625	1.5856	2.5564	-0.029349983	-0.63675	0.42129996	-4.6474524	2.1739001	1.22405	2.06815	0.54999995	1.7657001	0.51181436	0.22890335	-0.262586	-3.6655	-1.8967	1.6225	-0.3128
KTN1	-0.8960486	-2.5904	3.0495	-4.4756494	-1.6589558	1.7356095	1.5753	-9.5813	-2.97035	-0.3152031	1.6642	5.3424	0.4306	2.0135999	0.5839068	-0.72005	0.93125	-1.5964	2.576	0.087749995	0.7307	-6.86265	-1.1715	-1.4336004	2.8770921	-2.0093	-5.2681	1.7797	0.33992976	4.5352497	2.4082885	-6.1976595	-2.3245	1.077	-0.349	0.9122	-2.5523	-1.1517999	-0.4163	-0.8206	1.3547	0.2879	2.82965	2.1632	3.4288	2.02285	-5.8493	-0.9644	1.0128499	0.0633	-1.67705	-0.41091964	-0.18845001	-0.39155	-0.54435	-4.7328	-2.4563	-1.78262	-3.0679808	-3.5370634	-3.1657	-5.611	0.9538	0.4349
PINK1	0.50132865	0.1872	0.8321	4.2030654	2.1339717	1.5718136	1.7589	0.2628	0.86655	1.3763882	-1.7811	1.5932	1.7219	4.6237497	2.242975	-1.1324999	2.4551	1.2334	1.5632	0.5317	3.731	1.4130001	0.75025	4.027087	1.6567612	2.3271	1.7849	-3.2337	4.6198006	-0.11380002	0.061158407	-1.5977454	2.3933	0.5181	2.1759	0.6129	1.8117	0.36765003	0.52255	2.0544	0.3291	1.6312	1.3373001	-0.7472	1.3968999	1.7157	-4.4324	-0.2323	2.3306	-0.10554996	0.04760001	0.55862784	1.4051	2.50855	1.4161999	0.97494996	-0.93184996	3.7081933	2.1678293	2.1415856	4.2679	0.2519	0.1954	-2.2589
PRKAA2	1.6513515	3.646	3.978	4.310717	-0.98183656	2.763557	1.8369	6.7457	0.68974996	0.6619956	-0.8169	4.2161	1.5415	3.3466501	1.9195613	2.9824	0.8307	0.8822	2.4817	0.73955	1.4794	2.8363	2.39925	3.767248	0.0808444	-1.2225	-2.3268	-1.9947	2.448185	2.0457501	-0.005106032	4.6176534	0.1449	-0.845	-1.0639	7.1396	1.1384	2.7965999	5.5354	0.3594	8.6016	-1.4358	1.8362	1.0135	0.28475	1.1508	-0.0665	0.7067	3.9967	2.8762999	1.698	0.926526	2.0891	1.7233	2.3237	1.95805	2.0048	2.3920832	0.78601456	1.7344536	3.899	0.37	1.3932	2.0277
MYH10	-2.307016	-3.4961	-0.5652	-0.8902092	-1.0953357	-0.76639986	-0.2287	-1.2153	6.31635	0.52617913	0.9508	0.2829	1.2899	-0.99145	-3.5069087	0.87950003	0.58875	0.0569	0.1819	-1.54775	1.474	0.28815	1.3509	-2.4131804	-0.8940689	-4.0441	-4.3204	1.7348	1.8075883	-0.46509996	0.87924725	-0.896819	-1.1654	-1.8463	1.0286	-1.3019	-4.3453	-1.38115	-1.9671001	1.9421	0.3788	-2.6242	-1.2384	-5.0056	-2.6729999	3.5370998	-1.6632	1.7808	-1.7918999	-1.7485	1.23375	-2.5609105	-0.21805	-0.41635	0.13390002	-0.93575	-0.94229996	-0.17235363	-0.38129678	-1.1338111	2.0306	-6.697	-2.8914	-1.3331
TRIP6	1.584719	0.8832	-1.4193	-3.925085	2.4809308	-0.67973983	0.6092	-6.6515	-1.02265	0.19248262	0.9056	0.5281	-0.1973	-3.4837499	-2.6211655	-2.6677	-0.30699998	-0.2824	0.5248	1.495	2.7491	2.6163	-2.2011	-2.4786937	-1.4191966	3.5583	2.2611	-5.1338	2.1148567	-2.80155	-2.769426	-1.140068	0.0798	2.3575	-2.7933	0.3176	-8.1506	-4.59325	-4.64095	0.0975	-1.4142	-2.9725	-0.4863	-3.3787	1.3327	0.19989997	-1.5606	-1.9195	-1.51145	-2.47155	-1.7654	-2.9598432	-0.20809999	-1.03355	-0.51735	2.00125	-0.48825002	-0.014865816	0.7059506	-0.61765	-4.2415	1.1009	-2.0154	0.547
STRN	5.1374826	6.2858	5.06	6.338749	0.62348574	4.044614	5.7659	7.4139	3.8884501	0.9400637	-1.0975	0.7682	1.5678	2.83715	2.7415845	4.07425	4.27845	0.5523	3.2397	3.6389	2.1185	1.6348	2.9857502	7.1421084	1.4519417	-0.3754	3.0671	4.3485	3.298014	5.43405	0.666795	5.153628	-0.0523	0.221	2.2562	8.8758	8.5717	5.72335	6.09965	2.4995	4.0067	3.6328	3.6504002	4.3949	2.8796	4.92065	-1.8045	5.128	4.5491	4.37545	2.69205	2.3519573	2.0711	2.4433498	2.11735	4.3478003	4.5042	1.4086134	0.72393394	1.7656631	2.2471	5.465	2.6908	0.5583
NAGPA	1.3917322	2.9011	3.5518	0.40127346	-2.0213048	3.3954017	2.4628	-1.517	0.045399964	-0.7114011	-0.806	0.2354	0.3462	-1.5931	0.5726997	1.5608001	-0.5951	0.7296	0.4558	1.78125	-2.3981	-2.205	1.0274501	-1.2674322	1.2084452	1.5457	0.1376	-0.9502	-4.0466623	0.24975	1.1282152	-0.15483621	1.5947	-3.4413	1.4245	7.7465	0.17	-0.22729999	-1.5378	-2.0069	3.5345	4.2202	0.80684996	-2.1278	-0.5678	-0.89025	0.4142	1.8905	1.4415	3.32965	-0.27805	0.7566509	1.6385	0.6366	1.8371	0.22109997	1.6287501	0.27565584	0.5096743	0.95647347	-4.5362	-0.7855	0.5253	0.7058
SATB2	0.17780328	-1.0291	0.5309	2.3116124	-1.1499066	-0.68729484	3.1791	-1.0294	-0.82129997	-0.31344515	-0.7637	0.999	-0.8804	-3.06885	0.4930463	1.89255	-0.15375	0.848	-1.7694	0.70805	-0.5452	1.3743	0.48419997	1.7839744	-0.5335391	0.4773	8.5041	-1.4873	-2.3147767	-1.11135	-1.6115265	2.0138583	0.0871	0.1243	-1.1375	-0.5629	3.8904	0.12205002	-0.674	-0.2579	-0.3026	0.5535	-4.79445	-5.661	-4.2537003	-2.2881	-1.3847	-4.7316	-0.2184	-0.8838999	0.7845	-0.51580745	-1.93185	-1.28015	-0.13064998	-1.30015	-0.94495	-1.0027587	-0.9670744	-1.2817457	-3.7871	3.7269	1.444	3.6853
